m/z	I	S/N	Res.	I %	
195.06628	82051344	405.4	634601	6.2	
195.10269	3854626	17.2	700679	0.3	
195.13906	3403568	14.9	662417	0.3	
196.00133	3263112	14.2	660931	0.2	
196.03772	28693142	140.5	634151	2.2	
196.05885	7616159	35.9	665422	0.6	
196.06155	2509472	10.5	687747	0.2	
196.06964	8805027	41.8	691796	0.7	
196.07411	3688101	16.4	667211	0.3	
197.00916	8052767	38.0	651154	0.6	
197.04109	3761708	16.7	657389	0.3	
197.04446	4668462	21.2	769749	0.4	
197.04555	55501868	273.6	631461	4.2	
197.08192	4504125	20.4	651263	0.3	
197.11836	3867212	17.2	634090	0.3	
198.03224	2628546	11.1	656987	0.2	
198.04890	5287369	24.3	653530	0.4	
198.05337	2746315	11.7	646416	0.2	
199.02481	4238686	19.0	654308	0.3	
199.06121	5633901	25.9	654759	0.4	
199.09757	3567484	15.7	669038	0.3	
199.16921	4765594	21.6	744658	0.4	
199.16998	3868571	17.2	1436782	0.3	
199.17035	59475868	291.9	626820	4.5	
200.06900	2665749	11.2	693705	0.2	
200.17371	7825729	36.7	625481	0.6	
201.01934	2581161	10.8	595454	0.2	
201.04045	6553267	30.4	622755	0.5	
201.05571	5380793	24.6	631487	0.4	
201.11320	3479250	15.2	655652	0.3	
202.04829	3231844	13.9	566836	0.2	
202.06353	2730603	11.5	776283	0.2	
203.03499	8094226	37.9	603243	0.6	
203.05610	5077532	23.0	602900	0.4	
203.07135	4958754	22.4	604245	0.4	
204.04282	6058958	27.8	654107	0.5	
205.01425	8359295	39.1	604803	0.6	
205.03538	8238472	38.6	607425	0.6	
205.05063	16011663	76.8	614768	1.2	
205.08703	4656543	20.9	639672	0.4	
205.12341	3254191	14.0	711648	0.2	
206.02208	14984004	71.7	614780	1.1	
206.05846	8449876	39.4	625343	0.6	
206.99350	5475581	24.8	604828	0.4	
207.02541	2467340	10.1	510983	0.2	
207.02989	15955213	76.1	615851	1.2	
207.05103	13856023	65.8	596555	1.0	
207.06507	11914526	56.3	700286	0.9	
207.06628	151983392	741.7	598861	11.5	
207.08742	17474856	83.6	612238	1.3	
208.00133	7119563	32.9	591221	0.5	
208.03771	8389340	39.1	588829	0.6	
208.06964	17270506	82.5	587938	1.3	
208.07411	15648493	74.6	611348	1.2	
209.00916	10068126	47.3	582662	0.8	
209.04431	4882606	21.9	737730	0.4	
209.04513	4204719	18.6	1076284	0.3	
209.04555	66263216	322.3	597169	5.0	
209.04593	5793967	26.4	1063720	0.4	
209.08193	16677056	79.6	593215	1.3	
210.01700	3598453	15.6	615638	0.3	
210.04889	7428740	34.4	597331	0.6	
210.05337	9671302	45.4	594533	0.7	
210.07451	4112528	18.2	588404	0.3	
210.08526	2489237	10.2	583691	0.2	
211.02481	12710992	59.9	581058	1.0	
211.04007	3042391	12.9	660087	0.2	
211.05993	2820193	11.8	739470	0.2	
211.06120	41417824	199.7	595180	3.1	
